date,description,amount,type,channel,counterparty,currency,account_name,account_number,institution,running_balance
2025-05-01,Farmácia Popular,-271.9,DEBIT,PIX,Farmácia Popular,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,2228.1
2025-05-03,Faculdade UERJ,-40.32,DEBIT,Boleto,Faculdade UERJ,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,2187.78
2025-05-03,Padaria Central,-33.57,DEBIT,PIX,Padaria Central,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,2154.21
2025-05-03,Academia Fit+,-117.13,DEBIT,Saque,Academia Fit+,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,2037.08
2025-05-04,Transferência Fulano,292.09,CREDIT,App,Transferência Fulano,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,2329.17
2025-05-04,Estorno de Compra,35.0,CREDIT,App,Operadora Cartão,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,2364.17
2025-05-05,Pagamento de Aluguel,-1800.0,DEBIT,TED,Imobiliária Boa Casa,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,564.17
2025-05-06,Crédito de Salário,5200.0,CREDIT,PIX,Empresa XYZ LTDA,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,5764.17
2025-05-07,Supermercado Bom Preço,-234.67,DEBIT,Cartão Débito,Supermercado Bom Preço,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,5529.5
2025-05-08,Estacionamento Rotativo,-47.22,DEBIT,Cartão Débito,Estacionamento Rotativo,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,5482.28
2025-05-09,Vivo Fatura,-44.73,DEBIT,PIX,Vivo Fatura,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,5437.55
2025-05-10,Internet Fibra 500MB,-119.9,DEBIT,Boleto,Operadora NetFácil,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,5317.65
2025-05-11,TIM Fatura,-130.93,DEBIT,Saque,TIM Fatura,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,5186.72
2025-05-12,Assinatura Netflix,-39.9,DEBIT,Cartão Crédito,Netflix.com,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,5146.82
2025-05-12,Seguro Auto,-24.82,DEBIT,Saque,Seguro Auto,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,5122.0
2025-05-15,Conta de Luz,-234.55,DEBIT,Boleto,Light Energia,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,4887.45
2025-05-15,Padaria Lisboa,-406.53,DEBIT,Cartão Crédito,Padaria Lisboa,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,4480.92
2025-05-16,Uber *Trip,-339.75,DEBIT,PIX,Uber *Trip,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,4141.17
2025-05-16,Academia Fit+,-64.51,DEBIT,Cartão Crédito,Academia Fit+,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,4076.66
2025-05-19,Seguro Auto,-52.23,DEBIT,Cartão Crédito,Seguro Auto,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,4024.43
2025-05-19,Light Energia,-75.76,DEBIT,Cartão Crédito,Light Energia,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,3948.67
2025-05-19,Estacionamento Rotativo,-310.45,DEBIT,PIX,Estacionamento Rotativo,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,3638.22
2025-05-20,Conta de Água,-88.7,DEBIT,Boleto,CEDAE,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,3549.52
2025-05-21,Eletrônicos Silva,-193.89,DEBIT,Cartão Débito,Eletrônicos Silva,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,3355.63
2025-05-21,Cedae,-409.85,DEBIT,Cartão Crédito,Cedae,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,2945.78
2025-05-22,Academia Fit+,-51.58,DEBIT,Cartão Crédito,Academia Fit+,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,2894.2
2025-05-23,Restaurante Sabor & Cia,-101.61,DEBIT,Cartão Crédito,Restaurante Sabor & Cia,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,2792.59
2025-05-23,Estacionamento Rotativo,-39.16,DEBIT,PIX,Estacionamento Rotativo,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,2753.43
2025-05-23,Estorno de Compra,64.36,CREDIT,App,Operadora Cartão,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,2817.79
2025-05-27,Serviço de Streaming,-330.91,DEBIT,Boleto,Serviço de Streaming,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,2486.88
2025-05-28,Padoca do Zé,-43.51,DEBIT,Cartão Débito,Padoca do Zé,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,2443.37
2025-05-30,Tarifa Bancária,-12.9,DEBIT,App,Banco Exemplo S.A.,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,2430.47
2025-05-31,Impostos Municipais,-135.08,DEBIT,Saque,Impostos Municipais,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,2295.39
2025-06-01,Farmácia Popular,-177.14,DEBIT,Saque,Farmácia Popular,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,2118.25
2025-06-01,Estorno de Compra,56.15,CREDIT,App,Operadora Cartão,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,2174.4
2025-06-03,Impostos Municipais,-73.1,DEBIT,Saque,Impostos Municipais,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,2101.3
2025-06-03,Bônus - Empresa XYZ,78.08,CREDIT,TED,Empresa XYZ,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,2179.38
2025-06-04,Cursos Online,-404.83,DEBIT,Boleto,Cursos Online,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,1774.55
2025-06-05,Pagamento de Aluguel,-1800.0,DEBIT,TED,Imobiliária Boa Casa,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,-25.45
2025-06-06,Supermercado Bom Preço,-189.67,DEBIT,PIX,Supermercado Bom Preço,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,-215.12
2025-06-06,Crédito de Salário,5200.0,CREDIT,PIX,Empresa XYZ LTDA,BRL,Conta Corrente,1234-***-9,Banco Exemplo S.A.,4984.88
